case_id,split_seed,role,implementation,n_train,n_test,majority_accuracy,accuracy,roc_auc,effect,runtime_sec,dataset_hash
wdbc-101,101,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.958041958041958,0.9865828092243188,0.3286713286713286,0.0049287679998997,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-101,101,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.9790209790209792,0.9935010482180292,0.3496503496503497,0.1495270979999077,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-211,211,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.986013986013986,0.9935010482180292,0.3566433566433566,0.0035588910000114,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-211,211,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.993006993006993,0.9972746331236896,0.3636363636363636,0.1525715430000218,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-307,307,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.972027972027972,0.9853249475890984,0.3426573426573426,0.003153248999979,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-307,307,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.986013986013986,0.99874213836478,0.3566433566433566,0.1628849670000818,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-401,401,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.993006993006993,0.99937106918239,0.3636363636363636,0.0048009149998051,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-401,401,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.993006993006993,0.99958071278826,0.3636363636363636,0.1642125099999702,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-503,503,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.9790209790209792,0.99874213836478,0.3496503496503497,0.0064582170000448,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-503,503,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.9790209790209792,0.9981132075471698,0.3496503496503497,0.168390706000082,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-601,601,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.965034965034965,0.9853249475890986,0.3356643356643356,0.0037910710000232,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-601,601,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.972027972027972,0.9974842767295596,0.3426573426573426,0.1764132519999748,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-701,701,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.986013986013986,0.9838574423480084,0.3566433566433566,0.0049500800000714,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-701,701,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.9790209790209792,0.9951781970649896,0.3496503496503497,0.1362324950000584,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-809,809,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.965034965034965,0.9861635220125786,0.3356643356643356,0.0036441589998048,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-809,809,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.965034965034965,0.9958071278825996,0.3356643356643356,0.1429996869999286,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-907,907,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.972027972027972,0.989937106918239,0.3426573426573426,0.0026479369998924,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-907,907,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.972027972027972,0.9890985324947588,0.3426573426573426,0.1248168740000892,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-1009,1009,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.951048951048951,0.9633123689727464,0.3216783216783216,0.003358548000051,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-1009,1009,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.965034965034965,0.9834381551362684,0.3356643356643356,0.1399571580000156,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
