run_id,seed,role,condition,status,runtime_sec,run_dir
s000-proposer-clean,0,proposer,clean,SUCCEEDED,0.0034337820000018837,runs/seeded_faults/seed_000/proposer_clean
s000-rep-clean,0,replicator,clean,SUCCEEDED,0.0027919039998778317,runs/seeded_faults/seed_000/replicator_clean
s000-rep-data_mismatch,0,replicator,data_mismatch,SUCCEEDED,0.005241110000042681,runs/seeded_faults/seed_000/replicator_data_mismatch
s000-rep-metric_mismatch,0,replicator,metric_mismatch,SUCCEEDED,0.0026681159999952797,runs/seeded_faults/seed_000/replicator_metric_mismatch
s000-rep-implementation_mismatch,0,replicator,implementation_mismatch,SUCCEEDED,0.00371850200008339,runs/seeded_faults/seed_000/replicator_implementation_mismatch
s000-rep-environment_mismatch,0,replicator,environment_mismatch,SUCCEEDED,0.0025859630000013567,runs/seeded_faults/seed_000/replicator_environment_mismatch
s000-rep-protocol_ambiguous,0,replicator,protocol_ambiguous,SUCCEEDED,0.0024236579999978858,runs/seeded_faults/seed_000/replicator_protocol_ambiguous
s000-rep-hidden_contamination,0,replicator,hidden_contamination,SUCCEEDED,0.0024797720000151457,runs/seeded_faults/seed_000/replicator_hidden_contamination
s000-proposer-shared,0,proposer,shared_bug,SUCCEEDED,0.0029751899999155285,runs/seeded_faults/seed_000/proposer_shared_bug
s000-rep-shared_bug,0,replicator,shared_bug,SUCCEEDED,0.0024590109999280685,runs/seeded_faults/seed_000/replicator_shared_bug
s001-proposer-clean,1,proposer,clean,SUCCEEDED,0.002414152999790531,runs/seeded_faults/seed_001/proposer_clean
s001-rep-clean,1,replicator,clean,SUCCEEDED,0.0024495369998476235,runs/seeded_faults/seed_001/replicator_clean
s001-rep-data_mismatch,1,replicator,data_mismatch,SUCCEEDED,0.004932632999953057,runs/seeded_faults/seed_001/replicator_data_mismatch
s001-rep-metric_mismatch,1,replicator,metric_mismatch,SUCCEEDED,0.0023786589999872376,runs/seeded_faults/seed_001/replicator_metric_mismatch
