experiment_id,family,role,condition,seed,dataset,dataset_split,model_or_method,executor,device,runtime_sec,status,evidence_path,controller_python,platform
s000-proposer-clean,seeded_fault,proposer,clean,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0034337820000018,SUCCEEDED,runs/seeded_faults/seed_000/proposer_clean,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-clean,seeded_fault,replicator,clean,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0027919039998778,SUCCEEDED,runs/seeded_faults/seed_000/replicator_clean,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-data_mismatch,seeded_fault,replicator,data_mismatch,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0052411100000426,SUCCEEDED,runs/seeded_faults/seed_000/replicator_data_mismatch,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-metric_mismatch,seeded_fault,replicator,metric_mismatch,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0026681159999952,SUCCEEDED,runs/seeded_faults/seed_000/replicator_metric_mismatch,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-implementation_mismatch,seeded_fault,replicator,implementation_mismatch,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0037185020000833,SUCCEEDED,runs/seeded_faults/seed_000/replicator_implementation_mismatch,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-environment_mismatch,seeded_fault,replicator,environment_mismatch,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0025859630000013,SUCCEEDED,runs/seeded_faults/seed_000/replicator_environment_mismatch,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-protocol_ambiguous,seeded_fault,replicator,protocol_ambiguous,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0024236579999978,SUCCEEDED,runs/seeded_faults/seed_000/replicator_protocol_ambiguous,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-hidden_contamination,seeded_fault,replicator,hidden_contamination,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0024797720000151,SUCCEEDED,runs/seeded_faults/seed_000/replicator_hidden_contamination,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-proposer-shared,seeded_fault,proposer,shared_bug,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0029751899999155,SUCCEEDED,runs/seeded_faults/seed_000/proposer_shared_bug,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s000-rep-shared_bug,seeded_fault,replicator,shared_bug,0,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.002459010999928,SUCCEEDED,runs/seeded_faults/seed_000/replicator_shared_bug,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
s001-proposer-clean,seeded_fault,proposer,clean,1,synthetic_linear,full,canonical_OLS_or_fault_variant,awk,CPU,0.0024141529997905,SUCCEEDED,runs/seeded_faults/seed_001/proposer_clean,3.13.5,Linux-6.18.35-x86_64-with-glibc2.41
