task_id,agent_a_accuracy,agent_b_accuracy,pairwise_agreement_rate,false_consensus_count,false_consensus_rate,question_count,agent_a_provider,agent_a_model,agent_b_provider,agent_b_model,agent_a_report_exists,agent_b_report_exists,agent_a_submitted_report,agent_b_submitted_report,agent_a_report_origin,agent_b_report_origin,agent_a_provider_error,agent_b_provider_error
capsule-0571975,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-0811394,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-2151475,0.0,0.0,0.0,0,0.0,2,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-2675546,0.0,0.0,0.0,0,0.0,2,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-3990498,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-4407237,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-5007288,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-5360076,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-6562149,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-6724161,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-7350043,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-8185407,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-8353473,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-8467067,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-8610546,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-9026204,0.0,0.0,0.0,0,0.0,1,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
capsule-5172670,0.0,0.0,0.0,0,0.0,2,ollama,qwen3:0.6b,ollama,llama3.2:1b,True,True,False,False,harness_failure_normalization,harness_failure_normalization,,
