task_id,field,questions,agent_a_accuracy,agent_b_accuracy,agent_a_submitted_report,agent_b_submitted_report,agent_a_turns,agent_b_turns,agent_a_runtime_sec,agent_b_runtime_sec,agent_a_tool_calls,agent_b_tool_calls,agent_a_provider_error,agent_b_provider_error
capsule-0571975,Engineering,1,0.0,0.0,0,0,2,20,12.697529666000037,28.705935208000028,0,20,,
capsule-0811394,Physics,1,0.0,0.0,0,0,2,3,23.769968791999872,63.72905604200014,0,24,,
capsule-2151475,Economics,2,0.0,0.0,0,0,2,20,29.097347958,92.41672179199986,0,73,,
capsule-2675546,Engineering,2,0.0,0.0,0,0,2,20,38.061530707999964,20.78807925000001,0,20,,
capsule-3990498,Physics,1,0.0,0.0,0,0,2,20,11.834445417000097,25.172696249999944,0,20,,
capsule-4407237,Physics,1,0.0,0.0,0,0,2,20,12.597123166000074,82.24690629199995,0,32,,
capsule-5007288,Physics,1,0.0,0.0,0,0,3,2,24.527361959000245,4.166039499999897,2,0,,
capsule-5172670,Computer Science,2,0.0,0.0,0,0,3,2,43.7548193749999,127.33440237500008,2,0,,
capsule-5360076,Engineering,1,0.0,0.0,0,0,3,20,28.708287208,46.71998604200007,3,22,,
capsule-6562149,Engineering,1,0.0,0.0,0,0,3,9,30.782965332999993,54.52282637500002,1,35,,
capsule-6724161,Engineering,1,0.0,0.0,0,0,3,2,49.27687845799983,79.97081574999993,1,0,,
capsule-7350043,Computer Science,1,0.0,0.0,0,0,2,2,77.13162129200009,109.36093391600025,0,0,,
capsule-8185407,Engineering,1,0.0,0.0,0,0,2,4,119.76113741699965,109.47753975000023,0,2,,
capsule-8353473,Engineering,1,0.0,0.0,0,0,2,6,35.35430133299997,38.17949516700037,0,4,,
capsule-8467067,Engineering,1,0.0,0.0,0,0,2,10,45.61242179099963,90.48597479199998,0,8,,
capsule-8610546,Engineering,1,0.0,0.0,0,0,3,20,35.5441618750001,50.18806970900005,1,20,,
capsule-9026204,Physics,1,0.0,0.0,0,0,3,4,47.74820541700001,89.10946845800026,2,4,,
