case_id,split_seed,role,implementation,n_train,n_test,majority_accuracy,accuracy,roc_auc,effect,runtime_sec,dataset_hash
wdbc-101,101,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.958041958041958,0.9865828092243187,0.32867132867132864,0.004928767999899719,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-101,101,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.9790209790209791,0.9935010482180293,0.3496503496503497,0.1495270979999077,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-211,211,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.986013986013986,0.9935010482180293,0.35664335664335667,0.0035588910000114993,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-211,211,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.993006993006993,0.9972746331236897,0.36363636363636365,0.15257154300002185,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-307,307,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.972027972027972,0.9853249475890985,0.3426573426573426,0.0031532489999790414,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-307,307,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.986013986013986,0.9987421383647799,0.35664335664335667,0.16288496700008182,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-401,401,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.993006993006993,0.9993710691823899,0.36363636363636365,0.0048009149998051726,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-401,401,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.993006993006993,0.99958071278826,0.36363636363636365,0.16421250999997028,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-503,503,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.9790209790209791,0.9987421383647799,0.3496503496503497,0.006458217000044897,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-503,503,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.9790209790209791,0.9981132075471698,0.3496503496503497,0.168390706000082,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-601,601,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.965034965034965,0.9853249475890986,0.3356643356643356,0.003791071000023294,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-601,601,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.972027972027972,0.9974842767295597,0.3426573426573426,0.17641325199997482,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-701,701,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.986013986013986,0.9838574423480084,0.35664335664335667,0.004950080000071466,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-701,701,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.9790209790209791,0.9951781970649896,0.3496503496503497,0.1362324950000584,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-809,809,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.965034965034965,0.9861635220125786,0.3356643356643356,0.0036441589998048585,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-809,809,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.965034965034965,0.9958071278825996,0.3356643356643356,0.1429996869999286,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-907,907,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.972027972027972,0.989937106918239,0.3426573426573426,0.0026479369998924085,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-907,907,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.972027972027972,0.9890985324947589,0.3426573426573426,0.12481687400008923,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-1009,1009,proposer,sklearn_lbfgs,426,143,0.6293706293706294,0.951048951048951,0.9633123689727463,0.32167832167832167,0.003358548000051087,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
wdbc-1009,1009,replicator,numpy_batch_gd,426,143,0.6293706293706294,0.965034965034965,0.9834381551362683,0.3356643356643356,0.13995715800001562,aed4d90353a2cd2d1c1c69e013e22871c0bebe79c36adec92d0cfa6ebb8a5ddf
